"","Reactome Pathway","No. of Genes in Pathway","Adjusted P-Value","Leading Edge Genes"
"21","Interferon Signaling",198,"5.991e-06","MID1, CD44, HLA-A, FLNA, IFIT5, IFNA1, ICAM1, SAMHD1, KPNA4, HLA-B, PML, FLNB, GBP5, TRIM48, HLA-G, HLA-F, SEH1L, KPNB1, PTPN2, SP100, CAMK2A, IFIT2, HLA-E, IFIT3, GBP1, IFNB1, IFIT1, NUP93, EIF2AK2, STAT1, TRIM10, MX2, IFNA10, NUP153, B2M, NUP62, KPNA3, NUP98, TRIM29, TRIM38, NUP58, PSMB8, NDC1, SOCS3, NUP214, IFITM3, NUP88, NUP37, PIAS1, ISG15, IFITM1, EIF4A2, IRF1, IFNA6, GBP4, TRIM6, IFI35, MX1, PLCG1, NUP50, TRIM17, NCAM1, SMAD7, TRIM8, IFNA2, IFI6, NUP160, TRIM5, JAK1, HLA-C, KPNA1, NUP107, MT2A, UBE2L6, GBP3, PTPN11, NUP155, VCAM1, XAF1, TRIM35, RIGI, IFNA8, IFNGR2, NUP42, UBB, IFNAR2, UBA7, TRIM21, NUP54, HERC5, NUP133, NUP188, IFNA13, ABCE1"
"22","Glycosaminoglycan metabolism",124,"2.652e-05","DSE, HSPG2, HS2ST1, CHST3, EXT2, SLC26A2, GLB1L, HPSE, CD44, CSPG4, GPC1, EXT1, CHST7, GALNS, ST3GAL2, GLCE, AGRN, CHST13, DCN, B4GALT6, B3GNT7, HGSNAT, CHST14, CSGALNACT2, CHSY3, KERA, HYAL2, ARSB, SDC4, HAS2, VCAN, NCAN, HMMR, ST3GAL3, ST3GAL6, CHSY1, SLC35B2, PRELP, LUM, HS3ST1, B4GALT4, ACAN, SLC35B3, B3GAT2, B4GAT1, CEMIP, B4GALT2, B4GALT5, B4GALT1, HEXA, CHST11, CSGALNACT1, GNS, NDST3, LYVE1, HEXB, HS3ST5, DSEL, SDC2, B3GNT2, SLC35D2, SDC3, XYLT1, HYAL3, CHST9, CHST6, HAS1, CHPF2, CHPF, BGN, B3GNT3, HAS3"
"23","L1CAM interactions",117,"3.347e-05","ITGB1, CNTNAP1, LAMC1, MSN, AP2B1, LAMB1, L1CAM, ITGA5, NRP2, SCN9A, GAP43, DNM1, SPTAN1, ANK2, LAMA1, TUBB3, SPTBN1, SCN1B, EGFR, EPHB2, TUBB6, RPS6KA4, TUBB2B, DPYSL2, SCN5A, ITGA1, ACTG1, ITGB3, SCN2B, TUBA1C, SRC, ITGAV, KIF4A, NCAN, SCN3A, CSNK2A1, AP2A1, TUBB4A, CSNK2A2, DLG1, TUBA1A"
"24","Fatty acid metabolism",174,"6.398e-05","FASN, DBI, CPT2, HADH, ACOX2, PRXL2B, GGT1, CYP4F8, NDUFAB1, MCEE, SLC27A3, CYP4B1, MMAA, RXRA, FAAH, THRSP, NUDT19, SCP2, ACBD6, ACOX3, ECI1, ACOT6, ACOT4, SLC22A5, FAAH2, MLYCD, SLC25A1, ACBD5, ACOT1, CPT1A, ACSL1, HSD17B4, THEM5, CYP4F22, CPT1B, CYP1A2, EPHX2, GPX4, CYP2C19, ACOX1, ECHS1, CYP4A11, ACAA1, DECR1, GPX2, THEM4, SLC27A2, AMACR, ACSL3, SCD, PCCA, MCAT, ACOT13, MAPKAPK2, ACACB, MID1IP1, CRAT, ELOVL2, ACAD10, CYP4F2, ALOX15, HACD3, ACSM3, ALDH3A2, ACSL6, ALOX15B, CYP4A22, CBR4, PTGES2, DPEP2, PECR, DECR2, CYP1B1, PON3, HADHB, CYP2J2, HAO2, PON1, PCCB, HPGD, PPT1, ACSBG1, MMUT, ACADM, PON2, NUDT7, PRKAB2"
"25","Signaling by PDGF",58,"7.617e-05","COL6A1, COL6A2, COL4A1, PLAT, COL4A2, COL9A3, COL4A4, COL5A2, PDGFC, THBS2, FURIN, STAT1, COL4A3, SRC, THBS1, PDGFRB, COL3A1, NCK1, PIK3CA, PDGFRA, THBS4, COL6A6, COL4A5, NRAS, COL5A1, COL9A1, COL5A3, STAT5B, PLCG1, RASA1, COL6A3, SPP1"
"26","Signaling by TGFB family members",121,"8.426e-05","ITGB1, CHRDL1, TGFB1, NOG, ARHGEF18, SMURF2, COL1A2, PPP1R15A, FSTL3, FKBP1A, SMAD3, CBL, SERPINE1, FSTL1, FBN1, SMAD9, BMP2, TGFB2, XPO1, INHBA, LTBP3, LTBP2, RBL1, LTBP4, ITGB8, PARD3, YBX1, UBE2D1, ITGB3, FURIN, STAT1, FST, WWTR1, TFDP2, TGFBR2, ITGAV, DRAP1, MYC"
"27","Metabolism of amino acids and derivatives",371,"1.531e-04","SUOX, OAZ3, SECISBP2, GSR, ALDH6A1, CSAD, NDUFAB1, BBOX1, TAT, MCCC2, TPO, GLUD2, AGXT, CKMT1B, PRODH, IYD, SEPHS2, SQOR, HGD, KMO, PSMB5, SLC25A10, PSMA6, NQO1, ASL, DIO1, CKMT1A, PYCR3, TXN2, PSMB11, PSMD4, ACADSB, SDSL, ALDH4A1, SERINC2, NMRAL1, DLD, MTR, RIMKLA, HNMT, PYCR1, RPL41, RPS26, LIPT2, KYNU, SLC5A5, SEPSECS, GNMT, RPS27L, ASMT, GCAT, DDC, ASPG, GPT, SERINC5, PSME2, ALDH9A1, CGA, LIAS, RPS27, SLC6A11, SLC25A44, ACMSD, FOLH1, PSMB4, PSMD5, IVD, PDHX, PXMP2, PSMC5, HSD17B10, TST, SLC25A2, ASS1, ECHS1, TH, GLUD1, CRYM, PSME1, HPD, DLST, AUH, RPL37A, TSTD1, PSMD9, RPL8, RPL36AL, GLUL, PNMT, GPT2, RPL9, MRI1, EEFSEC, ENOPH1, PCBD1, HIBCH, RPL38, ARG1, AGXT2, MCCC1, CHDH, RPS14, RIDA, RPL30, EPRS1, GADL1, PDHA1, SLC6A12, GLS2, BCAT2, INMT, MPST, PYCR2, ETHE1, RPS29, SAT1, RPS3A, AIMP1, RPL35, CARNMT1, RPS4X, DHTKD1, PAH, RPS15A, PIPOX, TDO2, RPS15, PSMD7, SLC25A21, GCDH, RPL34, CARNS1, AFMID, GSTZ1, ADO, RPL7, RPL18A, PSMD6, APIP, PSMD12, PAOX, RPL3, RPL31, CBS, LOC102724560, PSMD10, HAL, PSMA2, BHMT, GOT2, RPL23A, HIBADH, SLC45A2, RPLP0, TPH2, QDPR, PHGDH, GRHPR, PSMC2, FOLH1B, DIO3, RPL39L, ACAD8, RPL39, SLC25A13, PSMD3, SCLY, RPL29, DDO"
"28","Platelet degranulation ",128,"1.578e-04","ACTN1, GAS6, SPARC, TGFB1, CD109, TLN1, SRGN, HSPA5, FN1, SERPING1, ACTN4, FLNA, SERPINE1, HABP4, TIMP3, SELP, TGFB2, CTSW, SERPINF2, APP, TIMP1, LAMP2, CALU, PROS1, CHID1, QSOX1, ITGB3, APLP2, ISLR, ABCC4, F8, THBS1, HRG, TMX3, GTPBP2, TF, ENDOD1, APOA1, RARRES2, VCL, PFN1, ECM1, LY6G6F, FAM3C"
"29","Anchoring of the basal body to the plasma membrane",97,"1.821e-04","MAPRE1, CEP164, SCLT1, CC2D2A, CKAP5, RPGRIP1L, CEP192, TUBB, NEDD1, B9D1, CNTRL, DCTN1, CEP162, NPHP1, YWHAE, ALMS1, NINL, CEP152, TCTN2, PLK1, C2CD3, CEP70, PLK4, PAFAH1B1, CEP89, DYNC1H1, IQCB1, HAUS6, CEP57, CEP63, CENPJ, TUBB4A, TUBA1A, CEP250, TTBK2, CEP76, NEK2, CDK1, HAUS5, TMEM67, CSNK1E, B9D2, PPP2R1A"
"30","Nuclear Envelope Breakdown",52,"1.821e-04","NEK7, CCNB1, SEH1L, CCNB2, NUP93, PRKCA, NUP153, CTDNEP1, NUP62, NUP98, NUP58, PLK1, NDC1, NUP214, NUP88, NUP37, LMNA, LPIN1, NEK9, NUP50, CDK1, LPIN3, NUP160, NUP107, NUP155, NUP42, CNEP1R1, EMD, NUP54, NUP133, NUP188"
