"","SYMBOL","ENSEMBL","ENTREZID"
"301","KCTD3","ENSG00000136636","51133"
"302","ABCC4","ENSG00000125257","10257"
"303","PLTP","ENSG00000100979","5360"
"304","MAMSTR","ENSG00000176909","284358"
"305","CDKAL1","ENSG00000145996","54901"
"306","ABHD11","ENSG00000106077","83451"
"307","PSG9","ENSG00000183668","5678"
"308","ABL2","ENSG00000143322","27"
"309","GSR","ENSG00000104687","2936"
"310","PLCXD2","ENSG00000240891","257068"
"311","SH3RF2","ENSG00000156463","153769"
"312","SPARC","ENSG00000113140","6678"
"313","ERCC6","ENSG00000225830","2074"
"314","IPO5","ENSG00000065150","3843"
"315","NPC1","ENSG00000141458","4864"
"316","ETDA","ENSG00000238210","101928677"
"317","MAMDC2","ENSG00000165072","256691"
"318","MAMDC2","ENSG00000278608","256691"
"319","CLEC4O","ENSG00000267453","102724279"
"320","HTR4","ENSG00000164270","3360"
"321","HGH1","ENSG00000235173","51236"
"322","PSG11","ENSG00000243130","5680"
"323","TMEM92","ENSG00000167105","162461"
"324","ZNF532","ENSG00000074657","55205"
"325","VPS28","ENSG00000160948","51160"
"326","VPS28","ENSG00000285339","51160"
"327","SYT14","ENSG00000143469","255928"
"328","MCRIP2","ENSG00000172366","84331"
"329","DUOX2","ENSG00000140279","50506"
"330","CFL2","ENSG00000165410","1073"
"331","SLC11A1","ENSG00000018280","6556"
"332","HS2ST1","ENSG00000153936","9653"
"333","SMARCA1","ENSG00000102038","6594"
"334","CRNDE","ENSG00000245694","643911"
"335","LAMA3","ENSG00000053747","3909"
"336","SRD5A3","ENSG00000128039","79644"
"337","PCDHB2","ENSG00000112852","56133"
"338","PILRB","ENSG00000121716","29990"
"339","ZNF672","ENSG00000171161","79894"
"340","GGCT","ENSG00000006625","79017"
"341","NDUFA4","ENSG00000189043","4697"
"342","LINC01480","ENSG00000270164","101927931"
"343","LOC101929227","ENSG00000250493","101929227"
"344","TERF2IP","ENSG00000166848","54386"
"345","C12orf56","ENSG00000185306","115749"
"346","CDA","ENSG00000158825","978"
"347","TTC39A-AS1","ENSG00000261664","102724097"
