block_id,drug_row,drug_col,conc_r,conc_c,response,conc_r_unit,conc_c_unit
2,Dasatinib,AZD3759,0,0.15625,99.70054346,uM,uM
2,Dasatinib,AZD3759,0,0.3125,93.78165551,uM,uM
2,Dasatinib,AZD3759,0,0.625,83.79607379,uM,uM
2,Dasatinib,AZD3759,0,1.25,71.21150505,uM,uM
2,Dasatinib,AZD3759,0,2.5,61.78047248,uM,uM
2,Dasatinib,AZD3759,0,5,53.21453658,uM,uM
2,Dasatinib,AZD3759,0,10,51.46585826,uM,uM
2,Dasatinib,AZD3759,0,20,50.30869903,uM,uM
2,Dasatinib,AZD3759,0.001953125,0.15625,82.42862331,uM,uM
2,Dasatinib,AZD3759,0.00390625,0.3125,72.47479551,uM,uM
2,Dasatinib,AZD3759,0.0078125,0.625,62.27194909,uM,uM
2,Dasatinib,AZD3759,0.015625,1.25,52.93375067,uM,uM
2,Dasatinib,AZD3759,0.03125,2.5,46.06844554,uM,uM
2,Dasatinib,AZD3759,0.0625,5,43.37074377,uM,uM
2,Dasatinib,AZD3759,0.125,10,45.07237104,uM,uM
2,Dasatinib,AZD3759,0.25,20,51.2770851,uM,uM
2,Dasatinib,AZD3759,0.001953125,0,81.09732265,uM,uM
2,Dasatinib,AZD3759,0.00390625,0,77.07641196,uM,uM
2,Dasatinib,AZD3759,0.0078125,0,72.86007426,uM,uM
2,Dasatinib,AZD3759,0.015625,0,67.46140317,uM,uM
2,Dasatinib,AZD3759,0.03125,0,60.94391245,uM,uM
2,Dasatinib,AZD3759,0.0625,0,48.97400821,uM,uM
2,Dasatinib,AZD3759,0.125,0,39.90130936,uM,uM
2,Dasatinib,AZD3759,0.25,0,37.53664256,uM,uM
2,Dasatinib,AZD3759,0,0.15625,88.58747174,uM,uM
2,Dasatinib,AZD3759,0,0.3125,81.78613967,uM,uM
2,Dasatinib,AZD3759,0,0.625,71.55254138,uM,uM
2,Dasatinib,AZD3759,0,1.25,65.9714626,uM,uM
2,Dasatinib,AZD3759,0,2.5,57.7797224,uM,uM
2,Dasatinib,AZD3759,0,5,55.68924864,uM,uM
2,Dasatinib,AZD3759,0,10,51.07076011,uM,uM
2,Dasatinib,AZD3759,0,20,53.8904689,uM,uM
