"","Ensembl ID","Gene Symbol","BH-Adjusted P-Value","T-Statistic","Average Expression","Log2 Fold Change in Expression"
"108","ENSG00000232949",NA,0.0184,-4.4644,-6.2746,-2.7617
"109","ENSG00000218233",NA,0.0184,-4.4599,-4.3659,-2.0805
"110","ENSG00000231242",NA,0.0184,-4.4591,-4.1457,-2.8238
"111","ENSG00000143612","C1orf43",0.0184,4.4563,7.8181,0.7914
"112","ENSG00000223617","LINC00370",0.0185,-4.4524,-6.7876,-2.4525
"113","ENSG00000159763","PIP",0.0185,4.4505,-4.1785,5.2721
"114","ENSG00000224020","MIR181A2HG",0.0185,-4.4454,-2.5641,-2.8593
"115","ENSG00000059804","SLC2A3",0.0185,-4.4429,0.9365,-3.8212
"116","ENSG00000188958","UTS2B",0.0185,-4.4402,-3.8628,-2.8279
"117","ENSG00000260228","CDH13-AS2",0.0185,4.4385,-3.8644,4.9854
"118","ENSG00000143578","CREB3L4",0.0185,4.4381,4.9739,2.26
"119","ENSG00000101335","MYL9",0.0185,-4.435,2.269,-4.2725
"120","ENSG00000204381","LAYN",0.0186,-4.4319,-1.8871,-4.2288
"121","ENSG00000173559","NABP1",0.0189,-4.424,4.5714,-2.0244
"122","ENSG00000211691","TRGJP",0.0191,4.4176,-6.1708,3.8089
"123","ENSG00000197860","SGTB",0.0191,-4.4168,3.0057,-1.5375
"124","ENSG00000243251",NA,0.0195,-4.4055,1.8552,-0.9037
"125","ENSG00000261970",NA,0.0195,-4.4043,-5.7978,-2.0763
"126","ENSG00000235180","LINC00601",0.0195,-4.404,-5.6707,-3.12
"127","ENSG00000165389","SPTSSA",0.0196,4.398,6.4118,1.0341
"128","ENSG00000211689","TRGC1",0.0196,4.3973,-4.6399,4.847
"129","ENSG00000211689","TARP",0.0196,4.3973,-4.6399,4.847
"130","ENSG00000166140","ZFYVE19",0.0205,4.3829,4.6906,0.9577
"131","ENSG00000164099","PRSS12",0.0205,-4.379,1.4028,-3.5978
"132","ENSG00000232759","STEAP1B-AS1",0.0205,-4.3788,-3.6991,-3.5052
"133","ENSG00000235123","DSCAM-AS1",0.0205,4.3751,-2.9098,6.9314
"134","ENSG00000272695","GAS6-DT",0.0205,-4.3721,-0.6243,-3.4599
"135","ENSG00000273038",NA,0.0205,-4.3709,0.6187,-1.6325
"136","ENSG00000128886","ELL3",0.0205,4.3701,2.6614,2.0655
"137","ENSG00000106077","ABHD11",0.0206,4.3658,5.3683,1.3539
"138","ENSG00000214944","ARHGEF28",0.0208,-4.3613,4.1682,-2.1604
"139","ENSG00000137831","UACA",0.0216,-4.3454,5.349,-1.6022
"140","ENSG00000139531","SUOX",0.0216,4.3415,4.7184,0.9916
"141","ENSG00000118513","MYB",0.0216,4.3389,3.2809,2.436
"142","ENSG00000237813",NA,0.0216,-4.3386,-4.4378,-3.6242
"143","ENSG00000170876","TMEM43",0.0216,-4.338,6.5443,-0.879
"144","ENSG00000105974","CAV1",0.0216,-4.3379,4.675,-4.3035
"145","ENSG00000142227","EMP3",0.0216,-4.3352,1.7034,-3.2927
"146","ENSG00000111245","MYL2",0.0216,-4.3338,-5.9235,-2.1745
"147","ENSG00000235772",NA,0.0217,4.3292,-2.0968,2.6957
"148","ENSG00000006625","GGCT",0.0217,4.3266,6.6329,1.0464
"149","ENSG00000146426","TIAM2",0.0217,-4.3261,1.3482,-1.792
"150","ENSG00000249412",NA,0.0217,4.3236,-4.9681,2.0508
"151","ENSG00000089327","FXYD5",0.0217,-4.3235,5.5045,-3.1632
"152","ENSG00000244308","RN7SL762P",0.0218,4.3199,-6.3652,1.7356
"153","ENSG00000146826","TRAPPC14",0.022,4.3148,4.1505,0.71
"154","ENSG00000230370","RPL23AP52",0.0225,4.3064,-5.8872,1.5527
"155","ENSG00000008118","CAMK1G",0.0225,-4.3037,-5.1402,-2.4769
"156","ENSG00000185222","TCEAL9",0.0225,-4.3025,2.9927,-3.9069
"157","ENSG00000181690","PLAG1",0.023,-4.293,1.1184,-2.7334
"158","ENSG00000227558",NA,0.023,-4.2915,-1.2756,-2.2207
"159","ENSG00000124782","RREB1",0.023,4.2899,5.883,0.7544
"160","ENSG00000261072",NA,0.023,-4.2871,-5.3503,-2.4247
"161","ENSG00000180233","ZNRF2",0.023,4.287,4.5917,0.9899
"162","ENSG00000148677","ANKRD1",0.0234,-4.2805,0.3104,-4.2143
